,queries,size,exec_time
-1,10,10,0
0,10,10,0
1,10,10,0
2,10,10,0
3,10,10,0
4,10,10,0
5,10,10,0
6,100,100,1
7,100,100,1
8,100,100,2
9,100,100,0
10,100,100,1
11,100,100,0
12,100,100,0
13,1000,1000,2
14,1000,1000,14
15,1000,1000,4
16,1000,1000,27
17,1000,1000,14
18,1000,1000,12
19,1000,1000,11
20,10000,10000,232
21,10000,10000,100
22,10000,10000,545
23,10000,10000,358
24,10000,10000,593
25,10000,10000,397
26,10000,10000,701
27,10000,10000,215
28,10000,10000,482
29,10000,10000,427
30,10000,10000,426
31,10000,10000,320
32,10000,10000,212
33,10000,10000,433
34,10000,10000,369
35,10000,10000,341
36,10000,10000,369
37,10000,10000,244
38,10000,10000,687
39,10000,10000,470
40,10000,10000,608
41,10000,10000,1314
42,10000,10000,568
43,10000,10000,503
44,10000,10000,525
45,10000,10000,389
46,10000,10000,183
47,10000,10000,356
48,10000,10000,392
49,10000,10000,598
50,10000,10000,494
51,10000,10000,26
52,10000,10000,620
53,10000,10000,539
54,10000,10000,580
55,10000,10000,454
56,10000,10000,770
57,10000,10000,677
58,10000,10000,339
59,10000,10000,500
60,10000,10000,288
61,10000,10000,198
62,10000,10000,460
63,10000,10000,299
64,10000,10000,639
65,10000,10000,278
66,10000,10000,118
67,10000,10000,464
68,10000,10000,359
69,10000,10000,320
70,10000,10000,230
71,10000,10000,285
72,10000,10000,554
73,10000,10000,680
74,10000,10000,452
75,10000,10000,203
76,10000,10000,579
77,10000,10000,703
78,10000,10000,407
79,10000,10000,164
80,10000,10000,906
81,10000,10000,332
82,10000,10000,381
83,10000,10000,477
84,10000,10000,581
85,10000,10000,196
86,10000,10000,563
87,10000,10000,521
88,10000,10000,681
89,10000,10000,459
